nom_c	nom_l	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Sup_Medial-2-L	G_Frontal_Sup_Medial-2-L	209	493	3944	49	90	49	-6.65314401622717	53.4361054766734	24.7018255578093
G_Frontal_Sup_Medial-2-R	G_Frontal_Sup_Medial-2-R	210	524	4192	42	92	49	6.69847328244275	56.5038167938931	25.469465648855
G_Frontal_Sup_Medial-3-L	G_Frontal_Sup_Medial-3-L	211	303	2424	48	81	58	-5.32013201320132	34.6600660066007	42.6270627062706
G_Frontal_Sup_Medial-3-R	G_Frontal_Sup_Medial-3-R	212	342	2736	43	80	58	5.54970760233918	33.4035087719298	43.859649122807
S_Anterior_Rostral-1-L	S_Anterior_Rostral-1-L	213	537	4296	49	87	35	-7.25884543761639	47.195530726257	-3.45996275605214
S_Anterior_Rostral-1-R	S_Anterior_Rostral-1-R	214	387	3096	42	87	35	6.42894056847545	47.3953488372093	-3.97416020671835
G_Frontal_Med_Orb-1-L	G_Frontal_Med_Orb-1-L	215	265	2120	50	96	35	-9.53207547169811	65.4716981132075	-2.33207547169812
G_Frontal_Med_Orb-1-R	G_Frontal_Med_Orb-1-R	216	253	2024	42	96	35	6.54545454545455	64.99604743083	-3.42292490118577
G_Frontal_Med_Orb-2-L	G_Frontal_Med_Orb-2-L	217	301	2408	48	88	31	-5.37541528239203	49.0299003322259	-11.8006644518272
G_Frontal_Med_Orb-2-R	G_Frontal_Med_Orb-2-R	218	275	2200	43	87	30	4.29818181818182	46.7781818181818	-12.7490909090909
G_subcallosal-1-L	G_subcallosal-1-L	219	244	1952	49	74	28	-6.3688524590164	20.8360655737705	-16.0409836065574
G_subcallosal-1-R	G_subcallosal-1-R	220	239	1912	43	74	28	5.89121338912133	20.7364016736402	-16.326359832636
G_Supp_Motor_Area-1-L	G_Supp_Motor_Area-1-L	221	130	1040	49	75	59	-6.2	22.3076923076923	45.6923076923077
G_Supp_Motor_Area-1-R	G_Supp_Motor_Area-1-R	222	153	1224	42	74	61	6.05228758169935	20.6143790849673	48.1830065359477
G_Supp_Motor_Area-2-L	G_Supp_Motor_Area-2-L	223	268	2144	51	73	67	-10.5597014925373	18.1791044776119	61.1194029850746
G_Supp_Motor_Area-2-R	G_Supp_Motor_Area-2-R	224	200	1600	40	73	67	10.31	18.67	61.46
G_Supp_Motor_Area-3-L	G_Supp_Motor_Area-3-L	225	518	4144	49	67	68	-7.16988416988417	7.62162162162161	63.7953667953668
G_Supp_Motor_Area-3-R	G_Supp_Motor_Area-3-R	226	258	2064	42	69	69	6.18604651162791	10.1162790697674	64.8217054263566
S_Cingulate-1-L	S_Cingulate-1-L	227	304	2432	49	77	51	-6.90789473684211	27.0263157894737	29.9934210526316
S_Cingulate-1-R	S_Cingulate-1-R	228	287	2296	42	77	52	6.95470383275261	26.5505226480836	30.9686411149826
S_Cingulate-2-L	S_Cingulate-2-L	229	270	2160	49	71	57	-6.96296296296296	15.7925925925926	40.7481481481481
S_Cingulate-2-R	S_Cingulate-2-R	230	342	2736	42	70	60	7.5906432748538	13.8771929824561	46.1169590643275
S_Cingulate-3-L	S_Cingulate-3-L	231	368	2944	49	66	60	-7.45652173913044	4.83152173913044	47.4565217391304
S_Cingulate-3-R	S_Cingulate-3-R	232	469	3752	42	66	62	7.75692963752665	4.92963752665244	51.3518123667377
S_Cingulate-4-L	S_Cingulate-4-L	233	546	4368	49	60	65	-7.80952380952381	-6.20879120879121	56.3882783882784
S_Cingulate-4-R	S_Cingulate-4-R	234	521	4168	41	61	65	8.25335892514396	-4.64107485604606	57.3090211132438
S_Cingulate-5-L	S_Cingulate-5-L	235	268	2144	50	55	57	-8.46268656716418	-16.4029850746269	41.6492537313433
S_Cingulate-5-R	S_Cingulate-5-R	236	268	2144	41	56	57	8.86567164179104	-15.9776119402985	41.9253731343284
S_Cingulate-6-L	S_Cingulate-6-L	237	386	3088	51	46	59	-10.8031088082902	-35.2590673575129	45.8341968911917
S_Cingulate-6-R	S_Cingulate-6-R	238	374	2992	40	46	59	11.4598930481283	-34.0374331550802	45.5882352941177
S_Cingulate-7-L	S_Cingulate-7-L	239	257	2056	50	43	66	-9.27626459143968	-41.3229571984436	59.5097276264592
S_Cingulate-7-R	S_Cingulate-7-R	240	287	2296	41	43	67	9.41463414634147	-40.5226480836237	60.5087108013937
G_Cingulum_Ant-1-L	G_Cingulum_Ant-1-L	241	431	3448	48	82	38	-5.68909512761022	37.3317865429234	3.05800464037122
G_Cingulum_Ant-1-R	G_Cingulum_Ant-1-R	242	584	4672	42	83	39	6.64726027397261	39.4349315068493	4.51712328767124
G_Cingulum_Ant-2-L	G_Cingulum_Ant-2-L	243	339	2712	49	81	48	-7.31563421828909	34.3185840707964	22.0589970501475
G_Cingulum_Ant-2-R	G_Cingulum_Ant-2-R	244	340	2720	42	80	48	7.28823529411764	33.3705882352941	22.8352941176471
G_Cingulum_Mid-1-L	G_Cingulum_Mid-1-L	245	44	352	47	71	51	-3.27272727272727	14.2727272727273	28.9545454545455
G_Cingulum_Mid-1-R	G_Cingulum_Mid-1-R	246	40	320	44	70	51	3.5	13.95	29.05
G_Cingulum_Mid-2-L	G_Cingulum_Mid-2-L	247	67	536	47	65	51	-3.70149253731343	3.49253731343285	29.5223880597015
G_Cingulum_Mid-2-R	G_Cingulum_Mid-2-R	248	78	624	43	65	51	4.12820512820512	3.74358974358975	29.8205128205128
G_Cingulum_Mid-3-L	G_Cingulum_Mid-3-L	249	213	1704	47	52	56	-3.93427230046949	-23.6525821596244	38.7417840375587
G_Cingulum_Mid-3-R	G_Cingulum_Mid-3-R	250	273	2184	43	51	56	4.54945054945055	-24.959706959707	38.8278388278388
G_Cingulum_Post-1-L	G_Cingulum_Post-1-L	251	166	1328	48	50	51	-4.20481927710843	-26.0240963855422	28.8192771084337
G_Cingulum_Post-1-R	G_Cingulum_Post-1-R	252	195	1560	43	51	51	4.72820512820513	-25.8974358974359	28.9641025641026
G_Cingulum_Post-2-L	G_Cingulum_Post-2-L	253	102	816	48	44	50	-4.29411764705883	-39.4901960784314	27.3725490196078
G_Cingulum_Post-2-R	G_Cingulum_Post-2-R	254	211	1688	42	42	52	7.52606635071091	-43.0236966824645	31.345971563981
G_Cingulum_Post-3-L	G_Cingulum_Post-3-L	255	45	360	48	42	42	-5.06666666666666	-42.8888888888889	10.0444444444445
G_Cingulum_Post-3-R	G_Cingulum_Post-3-R	256	73	584	43	42	42	5.78082191780823	-42.3835616438356	10.3013698630137
G_Paracentral_Lobule-1-L	G_Paracentral_Lobule-1-L	257	237	1896	49	55	62	-6.89451476793249	-16.7594936708861	50.9029535864979
G_Paracentral_Lobule-1-R	G_Paracentral_Lobule-1-R	258	312	2496	42	56	62	7.67948717948718	-14.7435897435897	50.0641025641026
G_Paracentral_Lobule-2-L	G_Paracentral_Lobule-2-L	259	460	3680	50	49	69	-9.93913043478261	-28.5478260869565	64.9565217391304
G_Paracentral_Lobule-2-R	G_Paracentral_Lobule-2-R	260	560	4480	40	50	70	10.825	-26.75	66.2142857142857
G_Paracentral_Lobule-3-L	G_Paracentral_Lobule-3-L	261	392	3136	49	51	71	-7.00510204081633	-25.8928571428571	68.5867346938776
G_Paracentral_Lobule-3-R	G_Paracentral_Lobule-3-R	262	407	3256	42	50	71	7.42997542997543	-26.4766584766585	69.7985257985258
G_Paracentral_Lobule-4-L	G_Paracentral_Lobule-4-L	263	227	1816	49	49	74	-6.25550660792952	-29.2599118942731	74.9779735682819
G_Paracentral_Lobule-4-R	G_Paracentral_Lobule-4-R	264	218	1744	42	49	74	6.97247706422019	-28.2660550458716	75.5412844036697
G_Precuneus-1-L	G_Precuneus-1-L	265	427	3416	51	36	43	-11.7985948477752	-55.2693208430913	13.4332552693208
G_Precuneus-1-R	G_Precuneus-1-R	266	442	3536	39	37	43	12.7782805429864	-52.7963800904977	13.8009049773756
G_Precuneus-2-L	G_Precuneus-2-L	267	232	1856	48	35	46	-4.98275862068965	-56.0344827586207	19.1120689655172
G_Precuneus-2-R	G_Precuneus-2-R	268	204	1632	43	36	46	5.00980392156863	-55.5294117647059	19.8039215686274
G_Precuneus-3-L	G_Precuneus-3-L	269	558	4464	49	38	53	-6.89964157706093	-50.8745519713262	33.741935483871
G_Precuneus-3-R	G_Precuneus-3-R	270	397	3176	43	38	53	5.74307304785894	-51.8488664987405	32.1158690176322
G_Precuneus-4-L	G_Precuneus-4-L	271	269	2152	49	39	59	-7.00371747211896	-48.7955390334572	44.817843866171
G_Precuneus-4-R	G_Precuneus-4-R	272	269	2152	42	39	58	7.88847583643123	-48.4684014869889	43.4275092936803
G_Precuneus-5-L	G_Precuneus-5-L	273	324	2592	49	36	64	-7.70987654320987	-54.8703703703704	54.641975308642
G_Precuneus-5-R	G_Precuneus-5-R	274	341	2728	42	39	63	7.25513196480938	-49.6774193548387	53.4428152492669
G_Precuneus-6-L	G_Precuneus-6-L	275	265	2120	49	33	67	-7.35094339622641	-61.177358490566	61.8264150943396
G_Precuneus-6-R	G_Precuneus-6-R	276	301	2408	42	34	67	7.92691029900332	-59.9335548172757	61.5481727574751
G_Precuneus-7-L	G_Precuneus-7-L	277	159	1272	48	31	54	-5.937106918239	-64.7044025157233	35.0062893081761
G_Precuneus-7-R	G_Precuneus-7-R	278	148	1184	42	32	54	7.27027027027027	-62.5135135135135	35.7432432432432
G_Precuneus-8-L	G_Precuneus-8-L	279	336	2688	49	28	57	-6.94642857142857	-70.7142857142857	40.3154761904762
G_Precuneus-8-R	G_Precuneus-8-R	280	363	2904	40	29	57	10.6776859504132	-68.2203856749311	40.5399449035813
G_Precuneus-9-L	G_Precuneus-9-L	281	205	1640	51	29	61	-10.2439024390244	-69.5707317073171	48.1170731707317
G_Precuneus-9-R	G_Precuneus-9-R	282	274	2192	39	29	61	12.8029197080292	-68.1824817518248	49.3357664233577
S_Parietooccipital-1-L	S_Parietooccipital-1-L	283	469	3752	52	36	40	-12.0213219616205	-55.727078891258	7.56076759061834
S_Parietooccipital-1-R	S_Parietooccipital-1-R	284	435	3480	39	36	41	13.1126436781609	-54.1011494252874	8.49655172413793
S_Parietooccipital-2-L	S_Parietooccipital-2-L	285	130	1040	52	31	49	-13.4153846153846	-65.0769230769231	25.6769230769231
S_Parietooccipital-2-R	S_Parietooccipital-2-R	286	158	1264	38	33	50	15.8860759493671	-61.4303797468354	26.1645569620253
S_Parietooccipital-3-L	S_Parietooccipital-3-L	287	236	1888	51	26	55	-10.4491525423729	-75.0847457627119	36.4576271186441
S_Parietooccipital-3-R	S_Parietooccipital-3-R	288	254	2032	38	27	55	14.0551181102362	-72.8818897637795	37.2834645669291
S_Parietooccipital-4-L	S_Parietooccipital-4-L	289	323	2584	54	34	39	-17.9814241486068	-59.5727554179567	4.08049535603715
S_Parietooccipital-4-R	S_Parietooccipital-4-R	290	392	3136	35	34	40	20.6071428571429	-59.2040816326531	6.36224489795919
S_Parietooccipital-5-L	S_Parietooccipital-5-L	291	34	272	54	29	46	-17.7647058823529	-70	19.5882352941177
S_Parietooccipital-5-R	S_Parietooccipital-5-R	292	52	416	35	31	47	20.8846153846154	-65.5769230769231	20.0384615384615
S_Parietooccipital-6-L	S_Parietooccipital-6-L	293	177	1416	52	26	51	-12.5310734463277	-75.3220338983051	29.3220338983051
S_Parietooccipital-6-R	S_Parietooccipital-6-R	294	178	1424	38	27	51	15.0898876404494	-72.5056179775281	29.2584269662921
G_Cuneus-1-L	G_Cuneus-1-L	295	256	2048	48	22	51	-5.21875	-82.6640625	28.3828125
G_Cuneus-1-R	G_Cuneus-1-R	296	200	1600	41	23	51	8.67	-80.07	28.73
G_Cuneus-2-L	G_Cuneus-2-L	297	146	1168	48	18	46	-4.13698630136986	-91.8493150684932	18.6986301369863
G_Cuneus-2-R	G_Cuneus-2-R	298	144	1152	42	19	46	7.56944444444444	-88.5138888888889	19.2361111111111
G_Calcarine-1-L	G_Calcarine-1-L	299	540	4320	51	28	41	-10.4666666666667	-71.6259259259259	9.02592592592593
G_Calcarine-1-R	G_Calcarine-1-R	300	517	4136	40	29	42	11.6943907156673	-69.3771760154739	10.2630560928433
G_Calcarine-2-L	G_Calcarine-2-L	301	445	3560	49	23	41	-7.30337078651685	-80.6696629213483	8.59325842696629
G_Calcarine-2-R	G_Calcarine-2-R	302	413	3304	41	25	41	9.52058111380146	-77.7820823244552	9.36561743341404
G_Calcarine-3-L	G_Calcarine-3-L	303	926	7408	49	16	36	-6.68250539956803	-95.3455723542117	-1.33261339092873
G_Calcarine-3-R	G_Calcarine-3-R	304	853	6824	40	16	37	10.8182883939039	-94.2203985932005	1.10199296600234
G_Lingual-1-L	G_Lingual-1-L	305	162	1296	56	41	34	-20.2098765432099	-45.320987654321	-4.61728395061728
G_Lingual-1-R	G_Lingual-1-R	306	173	1384	36	42	35	19.6416184971098	-43.9421965317919	-3.89595375722543
G_Lingual-2-L	G_Lingual-2-L	307	283	2264	56	32	33	-21.1024734982332	-62.4593639575972	-6.81272084805654
G_Lingual-2-R	G_Lingual-2-R	308	330	2640	35	33	33	20.9878787878788	-60.230303030303	-6.0060606060606
G_Lingual-3-L	G_Lingual-3-L	309	239	1912	52	32	35	-13.6485355648536	-63.5564853556485	-3.60669456066945
G_Lingual-3-R	G_Lingual-3-R	310	262	2096	39	32	35	12.9465648854962	-63.8396946564885	-2.16030534351145
G_Lingual-4-L	G_Lingual-4-L	311	38	304	53	26	31	-14.1052631578947	-75.6842105263158	-10.1052631578947
G_Lingual-4-R	G_Lingual-4-R	312	39	312	39	27	32	13.025641025641	-72.4102564102564	-9.33333333333333
G_Lingual-5-L	G_Lingual-5-L	313	140	1120	51	23	32	-10.9857142857143	-81.2571428571429	-9.01428571428572
G_Lingual-5-R	G_Lingual-5-R	314	83	664	40	24	33	10.9397590361446	-79.3975903614458	-7.08433734939759
G_Lingual-6-L	G_Lingual-6-L	315	161	1288	49	23	34	-6.26086956521739	-80.4099378881988	-4.64596273291926
G_Lingual-6-R	G_Lingual-6-R	316	146	1168	42	24	35	6.65753424657534	-78.8630136986301	-3.35616438356165
G_Hippocampus-1-L	G_Hippocampus-1-L	317	463	3704	61	60	27	-30.2850971922246	-7.0280777537797	-19.3995680345572
G_Hippocampus-1-R	G_Hippocampus-1-R	318	424	3392	30	61	27	30.0330188679245	-4.96698113207547	-18.4528301886792
G_Hippocampus-2-L	G_Hippocampus-2-L	319	437	3496	58	47	35	-24.9427917620137	-32.4622425629291	-2.69107551487414
G_Hippocampus-2-R	G_Hippocampus-2-R	320	485	3880	33	48	36	25.0061855670103	-31.3690721649484	-1.98762886597937
G_ParaHippocampal-1-L	G_ParaHippocampal-1-L	321	231	1848	53	61	27	-15.7229437229437	-4.03463203463204	-18.3636363636364
G_ParaHippocampal-1-R	G_ParaHippocampal-1-R	322	211	1688	38	62	28	14.1327014218009	-3.67772511848341	-17.8388625592417
G_ParaHippocampal-2-L	G_ParaHippocampal-2-L	323	329	2632	59	50	27	-27.6413373860182	-26.6382978723404	-18.7477203647416
G_ParaHippocampal-2-R	G_ParaHippocampal-2-R	324	301	2408	31	51	27	28.6112956810631	-24.7441860465116	-18.6312292358804
G_ParaHippocampal-3-L	G_ParaHippocampal-3-L	325	94	752	54	57	21	-17.5531914893617	-12.6170212765958	-30.2340425531915
G_ParaHippocampal-3-R	G_ParaHippocampal-3-R	326	128	1024	36	56	22	18.09375	-14.34375	-28.515625
G_ParaHippocampal-4-L	G_ParaHippocampal-4-L	327	259	2072	54	50	30	-17.1583011583012	-27.3667953667954	-12.8108108108108
G_ParaHippocampal-4-R	G_ParaHippocampal-4-R	328	321	2568	37	50	31	16.6915887850467	-27.3894080996885	-10.0498442367601
G_ParaHippocampal-5-L	G_ParaHippocampal-5-L	329	387	3096	59	44	31	-27.0749354005168	-39.5917312661499	-10.8630490956072
G_ParaHippocampal-5-R	G_ParaHippocampal-5-R	330	341	2728	32	46	31	27.1671554252199	-35.9882697947214	-11.9296187683284
G_Fusiform-1-L	G_Fusiform-1-L	331	1013	8104	61	59	19	-31.5478775913129	-8.7680157946693	-34.0868706811451
G_Fusiform-1-R	G_Fusiform-1-R	332	1071	8568	30	60	19	31.3949579831933	-7.6937441643324	-34.3025210084034
G_Fusiform-2-L	G_Fusiform-2-L	333	149	1192	63	51	25	-35.4093959731544	-25.6241610738255	-23.1140939597315
G_Fusiform-2-R	G_Fusiform-2-R	334	172	1376	27	51	25	37.9186046511628	-24.5	-23.8255813953488
G_Fusiform-3-L	G_Fusiform-3-L	335	347	2776	64	47	25	-36.5763688760807	-32.2305475504323	-23.7521613832853
G_Fusiform-3-R	G_Fusiform-3-R	336	390	3120	27	48	25	37.374358974359	-31.2923076923077	-23.625641025641
G_Fusiform-4-L	G_Fusiform-4-L	337	458	3664	67	39	28	-43.1266375545852	-49.7860262008734	-17.4061135371179
G_Fusiform-4-R	G_Fusiform-4-R	338	373	2984	23	40	28	44.0911528150134	-46.058981233244	-17.6943699731903
G_Fusiform-5-L	G_Fusiform-5-L	339	96	768	61	38	30	-31.4791666666667	-50.3958333333333	-12.4375
G_Fusiform-5-R	G_Fusiform-5-R	340	150	1200	29	40	31	32.3866666666667	-46.7333333333333	-11.32
G_Fusiform-6-L	G_Fusiform-6-L	341	443	3544	60	31	32	-28.1489841986456	-65.9864559819413	-9.52144469525959
G_Fusiform-6-R	G_Fusiform-6-R	342	486	3888	31	33	32	29.0123456790123	-61.6748971193416	-9.47736625514403
G_Fusiform-7-L	G_Fusiform-7-L	343	266	2128	57	21	31	-23.0902255639098	-84.015037593985	-10.3308270676692
G_Fusiform-7-R	G_Fusiform-7-R	344	243	1944	34	23	32	22.8888888888889	-80.4526748971194	-8.34567901234568
N_Amygdala-1-L	N_Amygdala-1-L	345	212	1696	56	63	31	-21.9339622641509	-0.405660377358487	-11.5
N_Amygdala-1-R	N_Amygdala-1-R	346	197	1576	35	64	30	21.1269035532995	1.65482233502539	-12.2842639593909
N_Caudate-1-L	N_Caudate-1-L	347	40	320	51	74	37	-11.5	21.85	1.05
N_Caudate-1-R	N_Caudate-1-R	348	33	264	40	75	36	11.2121212121212	22.8484848484848	-1.21212121212122
N_Caudate-2-L	N_Caudate-2-L	349	30	240	53	77	37	-14.4	26.1333333333333	0.200000000000003
N_Caudate-2-R	N_Caudate-2-R	350	43	344	38	77	37	15.6744186046512	27.7674418604651	1.81395348837209
N_Caudate-3-L	N_Caudate-3-L	351	337	2696	52	70	32	-12.3026706231454	13.6913946587537	-8.20771513353115
N_Caudate-3-R	N_Caudate-3-R	352	318	2544	40	71	33	11.7106918238994	14.5408805031446	-7.61635220125787
N_Caudate-4-L	N_Caudate-4-L	353	132	1056	53	69	43	-15.3636363636364	11.2424242424242	12.1969696969697
N_Caudate-4-R	N_Caudate-4-R	354	143	1144	38	73	41	14.2097902097902	19.9160839160839	8.1958041958042
N_Caudate-5-L	N_Caudate-5-L	355	354	2832	52	68	41	-12.9209039548023	9.77966101694915	8.27118644067797
N_Caudate-5-R	N_Caudate-5-R	356	302	2416	39	69	41	12.4304635761589	10.0066225165563	8.78807947019868
N_Caudate-6-L	N_Caudate-6-L	357	122	976	54	65	46	-16	3.50819672131146	18.655737704918
N_Caudate-6-R	N_Caudate-6-R	358	157	1256	38	67	45	15.1210191082803	6.52229299363057	17.5414012738854
N_Caudate-7-L	N_Caudate-7-L	359	58	464	55	57	49	-18.4137931034483	-12.3103448275862	25.2758620689655
N_Caudate-7-R	N_Caudate-7-R	360	155	1240	37	60	48	16.9806451612903	-7.58709677419355	23.858064516129
N_Pallidum-1-L	N_Pallidum-1-L	361	132	1056	55	59	36	-18.6363636363636	-8.15151515151516	-0.515151515151516
N_Pallidum-1-R	N_Pallidum-1-R	362	85	680	36	60	36	18.9647058823529	-6.91764705882353	-0.588235294117652
N_Putamen-2-L	N_Putamen-2-L	363	640	5120	57	67	37	-23.303125	6.26249999999999	0.784374999999997
N_Putamen-2-R	N_Putamen-2-R	364	626	5008	34	67	37	23.2268370607029	7.35463258785941	0.773162939297123
N_Putamen-3-L	N_Putamen-3-L	365	704	5632	60	60	37	-28.0056818181818	-6.26420454545455	1.77272727272727
N_Putamen-3-R	N_Putamen-3-R	366	745	5960	31	61	37	28.5342281879195	-4.09664429530201	0.861744966442956
N_Thalamus-1-L	N_Thalamus-1-L	367	81	648	48	64	37	-4.27160493827161	0.271604938271594	1.4320987654321
N_Thalamus-1-R	N_Thalamus-1-R	368	67	536	44	64	37	3.61194029850746	0.388059701492551	1.40298507462687
N_Thalamus-2-L	N_Thalamus-2-L	369	218	1744	50	59	43	-9.09174311926606	-8.55045871559633	12.954128440367
N_Thalamus-2-R	N_Thalamus-2-R	370	222	1776	41	60	43	8.54054054054055	-7.45045045045045	12.5135135135135
N_Thalamus-3-L	N_Thalamus-3-L	371	29	232	47	60	36	-3.31034482758621	-7.44827586206897	-1.10344827586206
N_Thalamus-3-R	N_Thalamus-3-R	372	23	184	44	60	36	2.78260869565217	-7.04347826086956	-1.1304347826087
N_Thalamus-4-L	N_Thalamus-4-L	373	87	696	47	56	41	-3.2183908045977	-14.3908045977011	8.41379310344827
N_Thalamus-4-R	N_Thalamus-4-R	374	96	768	44	56	41	3.29166666666667	-14.4583333333333	8.9375
N_Thalamus-5-L	N_Thalamus-5-L	375	630	5040	52	54	40	-12.4095238095238	-18.9650793650794	7.00952380952381
N_Thalamus-5-R	N_Thalamus-5-R	376	577	4616	39	55	40	12.6620450606586	-17.4696707105719	6.39861351819758
N_Thalamus-6-L	N_Thalamus-6-L	377	120	960	53	49	43	-15.05	-28.2833333333333	13.55
N_Thalamus-6-R	N_Thalamus-6-R	378	160	1280	38	50	43	14.55	-26.5125	12.725
N_Thalamus-7-L	N_Thalamus-7-L	379	30	240	50	49	42	-8.86666666666666	-28.0666666666667	10.6666666666667
N_Thalamus-7-R	N_Thalamus-7-R	380	37	296	41	50	41	8.75675675675676	-26.4864864864865	9.78378378378379
N_Thalamus-8-L	N_Thalamus-8-L	381	44	352	48	50	44	-4.90909090909091	-26.2727272727273	14.0454545454545
N_Thalamus-8-R	N_Thalamus-8-R	382	30	240	44	51	43	3.53333333333333	-25.3333333333333	13.1333333333333
N_Thalamus-9-L	N_Thalamus-9-L	383	276	2208	48	58	33	-5.39130434782609	-10.7101449275362	-7.31159420289855
N_Thalamus-9-R	N_Thalamus-9-R	384	219	1752	43	58	33	4.78538812785388	-10.2739726027397	-6.43835616438356
